Radius,ERn86Epi,ERn58Epi,ERp73Epi,ERp3019Epi
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0.00884955752212389,0.0169491525423729,0.00496894409937888
9,0,0.0265486725663717,0.0338983050847458,0.0236024844720497
10,0.0127388535031847,0.0442477876106195,0.0711864406779661,0.0627329192546584
11,0.0191082802547771,0,0.149152542372881,0.115527950310559
12,0.0382165605095541,0.079646017699115,0.220338983050847,0.179503105590062
13,0.0764331210191083,0.0973451327433628,0.308474576271186,0.251552795031056
14,0.089171974522293,0.150442477876106,0.372881355932203,0.337888198757764
15,0.121019108280255,0.230088495575221,0.440677966101695,0.427950310559006
16,0.197452229299363,0.292035398230089,0.522033898305085,0.513664596273292
17,0.273885350318471,0.353982300884956,0.593220338983051,0.602484472049689
18,0.331210191082803,0.424778761061947,0.715254237288136,0.716770186335404
19,0.369426751592357,0.495575221238938,0.840677966101695,0.832919254658385
20,0.420382165605096,0.566371681415929,0.925423728813559,0.950310559006211
21,0.45859872611465,0.619469026548673,1.05084745762712,1.06583850931677
22,0.522292993630573,0.769911504424779,1.15932203389831,1.20931677018634
23,0.611464968152866,0.876106194690266,1.27457627118644,1.36086956521739
24,0.687898089171974,0.964601769911504,1.42033898305085,1.50931677018634
25,0.815286624203822,1.05309734513274,1.52542372881356,1.67763975155279
26,0.929936305732484,1.19469026548673,1.65762711864407,1.86273291925466
27,1.01273885350318,1.28318584070796,1.84067796610169,2.04099378881988
28,1.08917197452229,1.4070796460177,2.00677966101695,2.22919254658385
29,1.17197452229299,1.60176991150442,2.14915254237288,2.43478260869565
30,1.31847133757962,1.68141592920354,2.3728813559322,2.63975155279503
31,1.39490445859873,1.85840707964602,2.56271186440678,2.85155279503106
32,1.47770700636943,2.0353982300885,2.78305084745763,3.07391304347826
33,1.5796178343949,2.16814159292035,2.96610169491525,3.30621118012422
34,1.69426751592357,2.31858407079646,3.16949152542373,3.55900621118012
35,1.85350318471338,2.46902654867257,3.3728813559322,3.80124223602484
36,2.00636942675159,2.61946902654867,3.5864406779661,4.08136645962733
37,2.1656050955414,2.78761061946903,3.84067796610169,4.37701863354037
38,2.32484076433121,2.94690265486726,4.05084745762712,4.69130434782609
39,2.45859872611465,3.10619469026549,4.32881355932203,5.00683229813665
40,2.63057324840764,3.31858407079646,4.6,5.31614906832298
41,2.78980891719745,3.49557522123894,4.8135593220339,5.6472049689441
42,2.96815286624204,3.73451327433628,5.10508474576271,5.99254658385093
43,3.12101910828025,4.01769911504425,5.40677966101695,6.32360248447205
44,3.31210191082803,4.21238938053097,5.66440677966102,6.67888198757764
45,3.45222929936306,4.43362831858407,5.89830508474576,7.03105590062112
46,3.63694267515924,4.69911504424779,6.2,7.41242236024845
47,3.84076433121019,4.93805309734513,6.51864406779661,7.80931677018634
48,4.03821656050955,5.23893805309735,6.80677966101695,8.2167701863354
49,4.26751592356688,5.42477876106195,7.12881355932203,8.63726708074534
50,4.52229299363057,5.64601769911504,7.47457627118644,9.05714285714286
51,4.73248407643312,5.98230088495575,7.8,9.49751552795031
52,4.94904458598726,6.29203539823009,8.16610169491525,9.93913043478261
53,5.17834394904459,6.57522123893805,8.50508474576271,10.3732919254658
54,5.40764331210191,6.87610619469027,8.87796610169491,10.8198757763975
55,5.65605095541401,7.19469026548673,9.2271186440678,11.3031055900621
56,5.84076433121019,7.54867256637168,9.56949152542373,11.7782608695652
57,6.09554140127389,7.83185840707965,9.94915254237288,12.2658385093168
58,6.39490445859873,8.2212389380531,10.3525423728814,12.7484472049689
59,6.70700636942675,8.5929203539823,10.7016949152542,13.2782608695652
60,7.05095541401274,8.92920353982301,11.1728813559322,13.8105590062112
61,7.40127388535032,9.24778761061947,11.6474576271186,14.3788819875776
62,7.72611464968153,9.69026548672566,12.0983050847458,14.9223602484472
63,8.00636942675159,10.0265486725664,12.4847457627119,15.4726708074534
64,8.29936305732484,10.3893805309735,12.935593220339,15.9819875776398
65,8.61146496815287,10.8053097345133,13.4237288135593,16.6099378881988
66,8.87898089171975,11.2035398230088,13.8745762711864,17.232298136646
67,9.27388535031847,11.5840707964602,14.3084745762712,17.8385093167702
68,9.64968152866242,12,14.8169491525424,18.4211180124224
69,9.98089171974522,12.3097345132743,15.3050847457627,19.0291925465839
70,10.343949044586,12.6991150442478,15.7966101694915,19.6391304347826
71,10.6433121019108,13.070796460177,16.2067796610169,20.2751552795031
72,11.0509554140127,13.3805309734513,16.6915254237288,20.9304347826087
73,11.4522292993631,13.7433628318584,17.2305084745763,21.6031055900621
74,11.8853503184713,14.1681415929204,17.7830508474576,22.2546583850932
75,12.2292993630573,14.5929203539823,18.3050847457627,22.911801242236
76,12.5414012738854,15.0088495575221,18.871186440678,23.6031055900621
77,13,15.4247787610619,19.4440677966102,24.3
78,13.4267515923567,15.8938053097345,19.9661016949153,25.0074534161491
79,13.8471337579618,16.3628318584071,20.528813559322,25.6987577639752
80,14.1974522292994,16.8053097345133,21.0847457627119,26.4273291925466
81,14.7261146496815,17.2477876106195,21.6542372881356,27.1813664596273
82,15.203821656051,17.6548672566372,22.2677966101695,27.9683229813665
83,15.656050955414,18.0530973451327,22.9084745762712,28.6813664596273
84,16.0764331210191,18.5398230088496,23.5593220338983,29.4608695652174
85,16.5414012738853,19.0176991150442,24.0983050847458,30.2099378881988
86,16.9936305732484,19.4247787610619,24.6474576271186,31.0136645962733
87,17.4649681528662,19.8230088495575,25.2305084745763,31.8304347826087
88,17.9745222929936,20.2300884955752,25.8135593220339,32.6167701863354
89,18.4904458598726,20.6725663716814,26.4033898305085,33.4130434782609
90,18.828025477707,21.0884955752212,26.9830508474576,34.2596273291925
91,19.3057324840764,21.716814159292,27.6,35.0850931677019
92,19.7643312101911,22.0973451327434,28.2576271186441,35.9242236024845
93,20.312101910828,22.5929203539823,28.9559322033898,36.7633540372671
94,20.7324840764331,23.0442477876106,29.6135593220339,37.6242236024845
95,21.2993630573248,23.5132743362832,30.2474576271186,38.5124223602485
96,21.8216560509554,24.0884955752212,30.8949152542373,39.4031055900621
97,22.2929936305732,24.5663716814159,31.5220338983051,40.2627329192547
98,22.9426751592357,25.1238938053097,32.2033898305085,41.1745341614907
99,23.515923566879,25.7433628318584,32.8237288135593,42.0869565217391
100,24.0891719745223,26.3451327433628,33.5762711864407,43.011801242236
101,24.6369426751592,26.7345132743363,34.1830508474576,43.9503105590062
102,25.0445859872611,27.3716814159292,34.9254237288136,44.8993788819876
103,25.8662420382166,27.8938053097345,35.6576271186441,45.8472049689441
104,26.4585987261146,28.5221238938053,36.3254237288136,46.8298136645963
105,27.1337579617834,29.0619469026549,37.0813559322034,47.8037267080745
106,27.687898089172,29.5398230088496,37.7898305084746,48.7490683229814
107,28.2420382165605,30.0884955752212,38.5050847457627,49.7565217391304
108,28.8853503184713,30.6106194690265,39.2237288135593,50.7378881987578
109,29.5414012738853,31.2477876106195,39.8745762711864,51.7347826086957
110,30.203821656051,31.9380530973451,40.5898305084746,52.7211180124224
111,30.8662420382166,32.5575221238938,41.3762711864407,53.7416149068323
112,31.5605095541401,33.2035398230089,42.1152542372881,54.7875776397516
113,32.2229299363057,33.7699115044248,42.9694915254237,55.8403726708075
114,32.8980891719745,34.5044247787611,43.8033898305085,56.888198757764
115,33.4713375796178,35.0265486725664,44.6169491525424,57.972049689441
116,34.0636942675159,35.6017699115044,45.3728813559322,59.0900621118012
117,34.9044585987261,36.1769911504425,46.2169491525424,60.1447204968944
118,35.656050955414,36.646017699115,47.0372881355932,61.1925465838509
119,36.4140127388535,37.1769911504425,47.8745762711864,62.2950310559006
120,37.1019108280255,37.7345132743363,48.6677966101695,63.3900621118012
121,37.7770700636943,38.3805309734513,49.4542372881356,64.4869565217391
122,38.4458598726115,39.1150442477876,50.2576271186441,65.6093167701863
123,39.171974522293,39.7787610619469,51.0677966101695,66.7571428571429
124,39.8216560509554,40.353982300885,51.9254237288136,67.9136645962733
125,40.5414012738853,41.1061946902655,52.8033898305085,69.0925465838509
126,41.2802547770701,41.8318584070796,53.6610169491525,70.2795031055901
127,41.9617834394904,42.4601769911504,54.5593220338983,71.4372670807453
128,42.7261146496815,43.1327433628319,55.3796610169492,72.6105590062112
129,43.5222929936306,43.7964601769912,56.2,73.8062111801242
130,44.1847133757962,44.3982300884956,57.0983050847458,75.0142857142857
131,44.9108280254777,45.0973451327434,57.8779661016949,76.232298136646
132,45.656050955414,45.8141592920354,58.8169491525424,77.4291925465838
133,46.6050955414013,46.4247787610619,59.6745762711864,78.6093167701863
134,47.2484076433121,47.0796460176991,60.5118644067797,79.8136645962733
135,47.968152866242,47.7787610619469,61.4610169491525,81.0714285714286
136,48.6815286624204,48.5132743362832,62.4033898305085,82.3490683229814
137,49.4968152866242,49.2035398230089,63.3559322033898,83.6031055900621
138,50.2866242038217,49.8938053097345,64.2813559322034,84.9111801242236
139,51.171974522293,50.6991150442478,65.1661016949153,86.1937888198758
140,51.8535031847134,51.4247787610619,66.1864406779661,87.4571428571429
141,52.7006369426752,52.0796460176991,67.1016949152542,88.7689440993789
142,53.4713375796178,52.8318584070796,67.9830508474576,90.0596273291926
143,54.2547770700637,53.5575221238938,68.9186440677966,91.3770186335404
144,55.0573248407643,54.2654867256637,69.9661016949153,92.7099378881988
145,55.8343949044586,55.0265486725664,70.9661016949153,94.0478260869565
146,56.7515923566879,55.6991150442478,72.0067796610169,95.3726708074534
147,57.6624203821656,56.3805309734513,72.9932203389831,96.7149068322981
148,58.5541401273885,57.1681415929204,73.9796610169492,98.088198757764
149,59.4331210191083,57.8053097345133,75.0440677966102,99.4826086956522
150,60.312101910828,58.4513274336283,76.064406779661,100.900621118012
151,61.1910828025478,59.0796460176991,77.0677966101695,102.380745341615
152,62.1337579617834,60.0442477876106,78.1661016949153,103.775776397516
153,63.031847133758,60.7787610619469,79.2169491525424,105.219875776398
154,63.9171974522293,61.5398230088496,80.2745762711864,106.634161490683
155,64.8025477707006,62.3451327433628,81.3559322033898,108.104968944099
156,65.6305732484076,63.0884955752212,82.4847457627119,109.542857142857
157,66.6433121019108,63.929203539823,83.5322033898305,111.010559006211
158,67.5541401273885,64.6371681415929,84.6372881355932,112.481366459627
159,68.5222929936306,65.3893805309735,85.6881355932203,113.950310559006
160,69.5095541401274,66.2566371681416,86.793220338983,115.449689440994
161,70.3757961783439,67.0530973451327,87.9084745762712,116.931055900621
162,71.343949044586,67.7787610619469,88.9661016949153,118.41801242236
163,72.3630573248408,68.5486725663717,90.0677966101695,119.937267080745
164,73.3949044585987,69.353982300885,91.206779661017,121.444099378882
165,74.2929936305732,70.0176991150443,92.4135593220339,123.003105590062
166,75.3885350318471,70.8407079646018,93.6372881355932,124.552795031056
167,76.4203821656051,71.6548672566372,94.6915254237288,126.08198757764
168,77.3375796178344,72.3982300884956,95.7898305084746,127.70248447205
169,78.312101910828,73.1858407079646,96.9694915254237,129.296894409938
170,79.2802547770701,74.0796460176991,98.1254237288136,130.903105590062
171,80.140127388535,74.8318584070797,99.3118644067797,132.478260869565
172,81.1528662420382,75.7345132743363,100.661016949153,134.052173913043
173,82.1273885350318,76.5663716814159,101.715254237288,135.726708074534
174,83.2165605095541,77.5132743362832,102.803389830508,137.349068322981
175,84.1847133757962,78.3362831858407,104.084745762712,139.041614906832
176,85.1847133757962,79.2035398230089,105.274576271186,140.69751552795
177,86.2611464968153,79.9823008849557,106.501694915254,142.367080745342
178,87.3057324840764,80.858407079646,107.779661016949,144.060869565217
179,88.2420382165605,81.6814159292035,109.040677966102,145.804968944099
180,89.1974522292994,82.4424778761062,110.281355932203,147.48198757764
181,90.140127388535,83.2389380530973,111.528813559322,149.223602484472
182,91.1019108280255,84.1504424778761,112.810169491525,150.96149068323
183,92.1656050955414,84.9911504424779,114.094915254237,152.693167701863
184,93.1910828025478,85.8761061946903,115.4,154.383229813665
185,94.1210191082803,86.6637168141593,116.528813559322,156.176397515528
186,95.2738853503185,87.5929203539823,117.783050847458,157.891304347826
187,96.3949044585987,88.5221238938053,119.010169491525,159.695652173913
188,97.4394904458599,89.3451327433628,120.349152542373,161.462732919255
189,98.4585987261146,90.3628318584071,121.640677966102,163.289440993789
190,99.5222929936306,91.2300884955752,123.037288135593,165.147204968944
191,100.528662420382,92.0530973451327,124.31186440678,166.875776397516
192,101.515923566879,92.9469026548673,125.616949152542,168.694409937888
193,102.554140127389,93.9115044247788,126.996610169492,170.540372670807
194,103.662420382166,94.7079646017699,128.213559322034,172.399378881988
195,104.636942675159,95.4424778761062,129.416949152542,174.252795031056
196,105.649681528662,96.4247787610619,130.722033898305,176.1
197,106.668789808917,97.3362831858407,132.003389830508,177.952173913043
198,107.783439490446,98.212389380531,133.386440677966,179.895031055901
199,109.006369426752,99.1592920353982,134.718644067797,181.770807453416
200,110.267515923567,100.212389380531,135.95593220339,183.664596273292
201,111.573248407643,101.185840707965,137.332203389831,185.56397515528
202,112.68152866242,102.132743362832,138.691525423729,187.503726708075
203,113.687898089172,103.079646017699,139.962711864407,189.444099378882
204,114.611464968153,104.026548672566,141.376271186441,191.418633540373
205,115.726114649682,104.955752212389,142.759322033898,193.391304347826
206,116.968152866242,106.017699115044,144.050847457627,195.395031055901
207,118.044585987261,107.017699115044,145.461016949153,197.411180124224
208,119.095541401274,107.955752212389,146.823728813559,199.399378881988
209,120.292993630573,108.920353982301,148.11186440678,201.384472049689
210,121.331210191083,109.893805309735,149.518644067797,203.388819875776
211,122.59872611465,110.920353982301,150.908474576271,205.404968944099
212,123.929936305732,111.893805309735,152.294915254237,207.432298136646
213,125.063694267516,112.787610619469,153.830508474576,209.51801242236
214,126.019108280255,113.858407079646,155.271186440678,211.595031055901
215,127.324840764331,114.884955752212,156.6,213.683229813665
216,128.490445859873,115.893805309735,158.003389830508,215.742236024845
217,129.656050955414,117.044247787611,159.515254237288,217.862111801242
218,131.114649681529,118.053097345133,160.894915254237,219.955900621118
219,132.267515923567,119.141592920354,162.274576271186,222.080745341615
220,133.433121019108,120.061946902655,163.735593220339,224.242236024845
221,134.636942675159,121.079646017699,165.108474576271,226.306211180124
222,135.910828025478,122.053097345133,166.545762711864,228.478260869565
223,137.171974522293,123.044247787611,168.006779661017,230.737267080745
224,138.541401273885,124.16814159292,169.484745762712,232.913043478261
225,139.866242038217,125.300884955752,170.989830508475,235.149689440994
226,141.025477707006,126.141592920354,172.379661016949,237.377639751553
227,142.191082802548,127.283185840708,173.813559322034,239.577639751553
228,143.458598726115,128.318584070796,175.322033898305,241.813043478261
229,144.713375796178,129.46017699115,176.816949152542,244.02298136646
230,145.853503184713,130.672566371681,178.267796610169,246.239130434783
231,147.063694267516,131.840707964602,179.650847457627,248.493167701863
232,148.286624203822,132.991150442478,181.24406779661,250.740372670807
233,149.458598726115,134.008849557522,182.867796610169,253.034161490683
234,150.821656050955,135.106194690265,184.423728813559,255.408695652174
235,152.261146496815,136.247787610619,186.023728813559,257.686956521739
236,153.554140127389,137.389380530973,187.535593220339,260.011180124224
237,154.675159235669,138.424778761062,188.952542372881,262.306211180124
238,155.891719745223,139.610619469027,190.477966101695,264.64099378882
239,157.127388535032,140.796460176991,192.203389830508,267.000621118012
240,158.375796178344,141.991150442478,193.769491525424,269.393167701863
241,159.694267515924,143.185840707965,195.264406779661,271.758385093168
242,160.987261146497,144.238938053097,196.837288135593,274.178260869565
243,162.165605095541,145.451327433628,198.525423728814,276.562732919255
244,163.503184713376,146.504424778761,200.277966101695,278.95900621118
245,164.853503184713,147.769911504425,201.810169491525,281.38198757764
246,165.968152866242,149.088495575221,203.393220338983,283.803726708075
247,167.248407643312,150.29203539823,204.952542372881,286.208695652174
248,168.426751592357,151.433628318584,206.738983050847,288.665217391304
249,169.566878980892,152.849557522124,208.352542372881,291.098757763975
250,170.815286624204,153.946902654867,209.877966101695,293.572049689441
251,172.063694267516,155.150442477876,211.447457627119,296.034782608696
252,173.222929936306,156.336283185841,213.149152542373,298.574534161491
253,174.414012738854,157.238938053097,214.840677966102,301.145962732919
